0	1	393	46	865
1	0	368	9	927
0	89	625	0	283
89	0	69	17	822
1	82	586	22	551
82	1	160	15	981
2	76	700	24	582
76	2	275	35	996
3	71	771	19	631
71	3	425	9	986
4	67	696	8	669
67	4	358	4	1010
5	64	499	7	699
64	5	211	4	990
6	62	463	0	765
62	6	247	5	975
7	61	717	24	738
61	7	520	0	959
8	61	661	9	803
61	8	514	6	953
9	62	489	0	838
62	9	353	0	974
10	64	664	5	515
64	10	186	14	983
11	67	939	6	341
67	11	416	0	869
12	71	912	0	234
71	12	334	0	810
13	76	687	9	499
76	13	192	24	978
14	82	450	13	747
82	14	228	15	967
15	89	585	10	368
89	15	65	22	875
17	18	193	0	766
18	17	172	0	785
18	28	210	8	767
28	18	173	6	805
19	39	379	15	608
39	19	93	4	905
20	51	525	10	930
51	20	598	13	854
21	64	733	0	488
64	21	232	0	987
22	78	651	5	620
78	22	258	5	1012
23	93	76	0	0
93	23	0	0	76
25	38	295	27	747
38	25	173	12	884
26	56	431	24	647
56	26	143	6	953
27	75	576	3	705
75	27	265	14	1004
28	95	76	0	0
95	28	0	0	76
30	50	846	8	624
50	30	543	0	932
31	73	169	27	670
73	31	109	3	751
33	34	326	22	820
34	33	253	4	911
34	60	230	0	959
60	34	414	6	768
35	87	467	16	709
87	35	207	7	977
37	56	734	19	780
56	37	632	52	848
38	86	433	0	651
86	38	133	5	945
40	61	685	14	706
61	40	392	12	999
41	94	575	0	682
94	41	236	16	1004
43	75	713	3	621
75	43	308	24	1004
45	60	179	11	844
60	45	249	12	772
47	49	520	12	660
49	47	195	9	987
48	89	649	12	444
89	48	141	13	951
50	84	520	5	576
84	50	127	9	965
52	83	419	3	719
83	52	176	16	947
54	86	279	3	695
86	54	119	8	850
56	93	176	0	10
93	56	0	0	186
59	67	671	3	616
67	59	266	16	1008
61	84	437	17	611
84	61	114	12	939
64	73	285	5	808
73	64	219	3	875
67	71	600	9	643
71	67	232	11	1006
70	78	485	1	714
78	70	212	3	983
73	94	306	1	917
94	73	353	10	860
78	82	416	8	780
82	78	241	4	958
83	95	76	0	0
95	83	0	0	76
0	9	404	2	677
9	0	144	0	937
1	2	316	25	897
2	1	341	31	866
1	90	536	8	422
90	1	67	3	896
2	84	538	9	602
84	2	158	8	983
3	79	580	21	515
79	3	132	18	963
4	75	537	13	849
75	4	423	21	953
5	72	681	18	586
72	5	270	4	1010
6	70	236	6	913
70	6	346	0	809
7	69	630	15	579
69	7	211	9	1004
8	69	553	2	717
69	8	256	14	1000
9	70	156	6	907
70	9	343	0	726
10	72	654	20	643
72	10	299	0	1018
11	75	498	0	820
75	11	318	36	964
12	79	381	21	691
79	12	152	9	931
13	84	430	34	663
84	13	161	6	960
14	90	512	35	533
90	14	120	0	960
16	17	188	6	726
17	16	140	6	773
17	26	124	0	756
26	17	179	1	699
18	36	573	9	610
36	18	192	0	1000
19	47	424	1	683
47	19	149	15	944
20	59	915	0	311
59	20	352	10	864
21	72	567	12	683
72	21	246	10	1006
22	86	442	5	748
86	22	222	0	973
24	29	198	14	858
29	24	272	0	798
25	46	618	5	439
46	25	106	28	927
26	64	529	0	656
64	26	191	0	992
27	83	684	5	438
83	27	160	12	955
29	36	434	26	761
36	29	245	6	970
30	58	554	3	747
58	30	295	4	1003
31	81	471	16	625
81	31	145	0	967
33	42	377	45	694
42	33	169	5	942
34	68	462	9	862
68	34	378	0	954
35	95	76	0	0
